clip_id,label_gt,scene,trash_type,onset_gt,first_alert_frame,n_alerts,total_frames,latency_frames,outcome,eval_time_s
own_event_000014,TP,clip capturat de sistem - eveniment real,unknown,,26,1,125,,TP,6.85
own_event_000015,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,3.49
own_event_000016,TP,clip capturat de sistem - eveniment real,unknown,,120,1,125,,TP,4.51
own_event_000017,TP,clip capturat de sistem - eveniment real,unknown,,38,2,125,,TP,5.39
own_event_000018,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,4.3
own_event_000019,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,4.57
own_event_000020,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,5.4
own_event_000021,TP,clip capturat de sistem - eveniment real,unknown,,43,2,125,,TP,5.82
yt_littering_car_toss,TP,CCTV - aruncare gunoi din masina,unknown,,,0,556,,FN,17.7
yt_littering_surveillance,TP,CCTV - aruncare gunoi surprinsa pe camera de supraveghere,unknown,,,0,2408,,FN,62.07
neg_park01_download_01,FP,video parc real - fara aruncare intentionata,,,,0,687,,TN,55.58
neg_park01_download_02,FP,video parc real - fara aruncare intentionata,,,,0,311,,TN,18.89
neg_park01_download_03,FP,video parc real - fara aruncare intentionata,,,,0,240,,TN,20.03
neg_park01_download_04,FP,video parc real - fara aruncare intentionata,,,,0,663,,TN,37.01
