clip_id,label_gt,scene,trash_type,onset_gt,first_alert_frame,n_alerts,total_frames,latency_frames,outcome,eval_time_s
own_event_000014,TP,clip capturat de sistem - eveniment real,unknown,,26,1,125,,TP,4.6
own_event_000015,TP,clip capturat de sistem - eveniment real,unknown,,11,1,125,,TP,3.55
own_event_000016,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,3.55
own_event_000017,TP,clip capturat de sistem - eveniment real,unknown,,38,1,125,,TP,3.64
own_event_000018,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,3.71
own_event_000019,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,3.63
own_event_000020,TP,clip capturat de sistem - eveniment real,unknown,,,0,125,,FN,3.53
own_event_000021,TP,clip capturat de sistem - eveniment real,unknown,,43,2,125,,TP,3.74
yt_littering_car_toss,TP,CCTV - aruncare gunoi din masina,unknown,,,0,556,,FN,14.63
yt_littering_surveillance,TP,CCTV - aruncare gunoi surprinsa pe camera de supraveghere,unknown,,1611,1,2408,,TP,65.33
neg_park01_download_01,FP,video parc real - fara aruncare intentionata,,,,0,687,,TN,48.9
neg_park01_download_02,FP,video parc real - fara aruncare intentionata,,,,0,311,,TN,11.93
neg_park01_download_03,FP,video parc real - fara aruncare intentionata,,,,0,240,,TN,18.01
neg_park01_download_04,FP,video parc real - fara aruncare intentionata,,,,0,663,,TN,43.48
